Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Master Transformation (MBA),Technical University of Applied Sciences Würzburg-Schweinfurt (THWS) •,Schweinfurt,Business and Economics,Winter semester,"EUR 5,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8597/
Master's degree •,Master's Degree Course in Electronics Engineering,Bremen University of Applied Sciences •,Bremen,Electrical Engineering,"Winter semester, Summer semester",varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3752/
Master's degree •,Master's in Architecture Typology,Technische Universität Berlin •,Berlin,Architecture,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5410/
Master's degree •,Master's in Automotive Production Engineering (MAPE),Technische Hochschule Ingolstadt •,Ingolstadt,Mechanical Engineering / Process Engineering,Summer semester,EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4403/
Master's degree •,Master's in Construction and Real Estate Management (ConREM),HTW Berlin University of Applied Sciences •,Berlin,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3814/
Master's degree •,Master's in Embedded Systems Engineering (ESE),Dortmund University of Applied Sciences and Arts •,Dortmund,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4513/
Master's degree •,Master's in Industrial Informatics – Specialisation Industrial Cyber-Physical Systems,University of Applied Sciences Emden/Leer •,Emden,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4775/
Master's degree •,Master's in Micro- and Nanotechnology,Hochschule München University of Applied Sciences •,München,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,"3 semesters, 6 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4814/
Master's degree •,Master's Mathematics in Science and Engineering,Technical University of Munich •,Garching b. München,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3964/
Master's degree •,Materials Engineering (International Profile),RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8271/
